>ptg000019l	658483
28071	28281	26
28282	28362	25
28363	28401	24
28402	28786	25
28787	28853	24
28854	28901	25
28902	29108	24
29109	29490	25
29491	29507	24
29508	29597	25
29598	29637	26
29638	29716	27
29717	30403	28
30404	30575	27
30576	30616	26
30617	31800	27
31801	31977	28
31978	32195	27
32196	32325	26
32326	32344	27
32345	32416	26
32417	32753	25
32754	33180	26
33181	33327	27
33328	33405	28
33406	33424	29
33425	33529	28
33530	33706	27
33707	33737	26
33738	33884	27
33885	34020	26
34021	34144	27
34145	34180	26
34181	34186	27
34187	34550	28
34551	34764	29
34765	34825	30
34826	34969	29
34970	35083	28
35084	35543	27
35544	35600	28
35601	35701	27
35702	35939	26
35940	35990	27
35991	36142	26
36143	36154	25
36155	36408	24
36409	36462	25
36463	36664	24
36665	36673	25
36674	36718	26
36719	36727	27
36728	37271	28
37272	37279	29
37280	37441	28
37442	37594	27
37595	38009	28
38010	38042	27
38043	38150	26
38151	38267	25
38268	38268	24
38269	38291	25
38292	39383	26
39384	39632	25
39633	39862	24
39863	39937	25
39938	40030	26
40031	40056	25
40057	40725	26
40726	40978	25
40979	41039	27
41040	41485	26
41486	41571	25
41572	41662	24
41663	41687	25
41688	41693	26
41694	41766	27
41767	42211	28
42212	42681	27
42682	42981	26
42982	43216	27
43217	43484	28
43485	43673	29
43674	43717	28
43718	43776	27
43777	44262	28
44263	44312	27
44313	44339	26
44340	44571	25
44572	44611	24
44612	44682	25
44683	44775	26
44776	44966	25
44967	45110	26
45111	45199	27
45200	45478	26
45479	45490	25
45491	45528	24
45529	45706	25
45707	45744	26
45745	45778	27
45779	45939	26
45940	46174	27
46175	46340	26
46341	46466	27
46467	46965	28
46966	46976	29
46977	47223	30
47224	47323	29
47324	47365	30
47366	47652	29
47653	47770	30
47771	47850	31
47851	47987	32
47988	48060	31
48061	48111	32
48112	48455	31
48456	48459	32
48460	48594	31
48595	48683	30
48684	48923	29
48924	49023	30
49024	49254	31
49255	49350	32
49351	49555	33
49556	49739	34
49740	49749	33
49750	49781	34
49782	49815	33
49816	49846	32
49847	50120	33
50121	50280	32
50281	50310	33
50311	50513	34
50514	50867	33
50868	50875	34
50876	51107	35
51108	51174	34
51175	51695	35
51696	51903	36
51904	51945	35
51946	52293	36
52294	52551	35
52552	52570	36
52571	53112	35
53113	53131	36
53132	53201	37
53202	53378	38
53379	53454	37
53455	53793	38
53794	53796	37
53797	53861	38
53862	53866	39
53867	53998	38
53999	54146	37
54147	54296	38
54297	54354	37
54355	54401	38
54402	54499	39
54500	54896	38
54897	54903	37
54904	54926	36
54927	55089	37
55090	55262	36
55263	55310	34
55311	55313	35
55314	55395	34
55396	55451	35
55452	55548	36
55549	55627	37
55628	56003	40
56004	56156	39
56157	56324	38
56325	56591	39
56592	56622	38
56623	56859	39
56860	57102	38
57103	57268	37
57269	57299	38
57300	57405	37
57406	57506	36
57507	57854	37
57855	57979	36
57980	58121	37
58122	58433	36
58434	58905	37
58906	59146	38
59147	59266	37
59267	59436	38
59437	59906	37
59907	60222	35
60223	60293	34
60294	60332	33
60333	60630	32
60631	60741	31
60742	60777	30
60778	60961	31
60962	61123	30
61124	61143	29
61144	61231	28
61232	61233	27
61234	61255	28
61256	61339	29
61340	61651	28
61652	62457	29
62458	62593	28
62594	62737	27
62738	62829	28
62830	62892	29
62893	62922	28
62923	63019	29
63020	63067	28
63068	63288	27
63289	63329	28
63330	63467	29
63468	63591	27
63592	63791	28
63792	63955	27
63956	64082	28
64083	64120	27
64121	64228	28
64229	64232	27
64233	64273	28
64274	64371	27
64372	64387	26
64388	64417	25
64418	64730	24
64731	64934	23
64935	64955	22
64956	64971	23
64972	65804	24
65805	65847	25
65848	65917	24
65918	65951	23
65952	65971	22
65972	66065	21
66066	66086	22
66087	66947	24
66948	67045	23
67046	67217	22
67218	67519	21
67520	67739	20
67740	68041	19
68042	68380	20
68381	68429	19
68430	68561	20
68562	69602	21
69603	69685	20
69686	69759	19
69760	69855	20
69856	69902	21
69903	69930	22
69931	70158	23
70159	70657	24
70658	71174	25
71175	71207	24
71208	71226	25
71227	71600	24
71601	71715	25
71716	71813	24
71814	72154	26
72155	72328	28
72329	72832	29
72833	72841	28
72842	72847	29
72848	72860	28
72861	73005	27
73006	73013	26
73014	73070	27
73071	73259	28
73260	73299	27
73300	73371	26
73372	73785	25
73786	74200	24
74201	74295	25
74296	74311	24
74312	74408	25
74409	74973	24
74974	75045	23
75046	75425	24
75426	75659	25
75660	75781	26
75782	75915	25
75916	76056	26
76057	76439	27
76440	76545	26
76546	77372	25
77373	77401	26
77402	77414	27
77415	77660	28
77661	77666	27
77667	78065	29
78066	78198	30
78199	78260	31
78261	78452	30
78453	78516	31
78517	78764	32
78765	79223	30
79224	79319	29
79320	79442	30
79443	79642	31
79643	79662	32
79663	79878	33
79879	80025	32
80026	80032	31
80033	80172	32
80173	80439	33
80440	80664	32
80665	80715	31
80716	80903	30
80904	81223	29
81224	81453	30
81454	81504	29
81505	81600	28
81601	81756	27
81757	81832	28
81833	82342	27
82343	82504	26
82505	82545	25
82546	82874	26
82875	82934	25
82935	83184	26
83185	83895	27
83896	84319	26
84320	84611	25
84612	84649	26
84650	84900	25
84901	85183	26
85184	85202	27
85203	85304	26
85305	85533	25
85534	85735	26
85736	86038	25
86039	86227	24
86228	86319	25
86320	86470	26
86471	86540	25
86541	86580	23
86581	86987	22
86988	87044	23
87045	87072	21
87073	87091	22
87092	87243	21
87244	87585	20
87586	88047	19
88048	88066	20
88067	88093	19
88094	88196	20
88197	88232	21
88233	88323	20
88324	88349	21
88350	88655	22
88656	88711	21
88712	88731	20
88732	89110	19
89111	89227	20
89228	89757	21
89758	90090	23
90091	90114	22
90115	90271	23
90272	90498	24
90499	90805	25
90806	90998	24
90999	91106	23
91107	91210	24
91211	91366	25
91367	92016	24
92017	92442	23
92443	92656	22
92657	93223	23
93224	93442	24
93443	93460	23
93461	93871	24
93872	93939	25
93940	94270	24
94271	94471	23
94472	94996	24
94997	95008	25
95009	95254	24
95255	95385	25
95386	95661	26
95662	95718	27
95719	95849	26
95850	95877	25
95878	96155	24
96156	96571	23
96572	96641	22
96642	96745	23
96746	97528	24
97529	97601	25
97602	97731	26
97732	97816	25
97817	98007	24
98008	98108	25
98109	98420	24
98421	98443	25
98444	98672	24
98673	98767	25
98768	98932	24
98933	99042	22
99043	99282	24
99283	99303	23
99304	99405	22
99406	100019	21
100020	100080	22
100081	100118	21
100119	100636	20
100637	100795	21
100796	100868	22
100869	101260	23
101261	101291	24
101292	101368	25
101369	101621	27
101622	101639	26
101640	101803	27
101804	101878	28
101879	102222	27
102223	102408	26
102409	102606	27
102607	102671	28
102672	102787	29
102788	103329	30
103330	103593	29
103594	104005	30
104006	104533	31
104534	104701	32
104702	104737	31
104738	104859	30
104860	105015	31
105016	105201	32
105202	105497	33
105498	105923	32
105924	105993	33
105994	106115	34
106116	106327	33
106328	106552	32
106553	106571	33
106572	106610	32
106611	106630	31
106631	106650	30
106651	106883	31
106884	106934	30
106935	106983	29
106984	107063	28
107064	107153	29
107154	107392	28
107393	107497	27
107498	107539	28
107540	107814	27
107815	108760	28
108761	109002	29
109003	109515	28
109516	109563	27
109564	109608	28
109609	109900	29
109901	109937	28
109938	110001	29
110002	110078	28
110079	110806	29
110807	111088	28
111089	111282	27
111283	111466	28
111467	111558	27
111559	111577	28
111578	111934	27
111935	112001	26
112002	112129	25
112130	112161	27
112162	112252	26
112253	112401	25
112402	112634	24
112635	112682	25
112683	112734	24
112735	112802	23
112803	112919	22
112920	113065	23
113066	113303	22
113304	113360	23
113361	113834	22
113835	113946	23
113947	114202	24
114203	114254	23
114255	114337	22
114338	114560	23
114561	114672	22
114673	114704	21
114705	115093	20
115094	115235	19
115236	115322	20
115323	115398	19
115399	115699	20
115700	116009	21
116010	116358	20
116359	116460	21
116461	116541	20
116542	116702	21
116703	117640	20
117641	117784	21
117785	118290	22
118291	118344	21
118345	118402	22
118403	118684	21
118685	119229	20
119230	119717	21
119718	119773	20
119774	119914	19
119915	119990	20
119991	120048	21
120049	120057	22
120058	120257	23
120258	120356	22
120357	120646	21
120647	120653	20
120654	120747	21
120748	120976	22
120977	121095	23
121096	121241	24
121242	121950	25
121951	122247	24
122248	122285	25
122286	122295	24
122296	122562	23
122563	122640	24
122641	122703	23
122704	122891	22
122892	122982	21
122983	123207	22
123208	124676	21
124677	124735	22
124736	124885	21
124886	124914	20
124915	124928	21
124929	124991	22
124992	125192	21
125193	125386	22
125387	125953	24
125954	126917	25
126918	126976	24
126977	127063	25
127064	127101	24
127102	127595	23
127596	127883	24
127884	128181	25
128182	128354	26
128355	128552	25
128553	128602	26
128603	128709	25
128710	128767	24
128768	129032	23
129033	129269	22
129270	129315	23
129316	129340	24
129341	129633	25
129634	129697	24
129698	130070	23
130071	130168	21
130169	130311	22
130312	130678	23
130679	130748	22
130749	130879	24
130880	130942	25
130943	130957	24
130958	131145	25
131146	131184	24
131185	131245	25
131246	131316	24
131317	131559	25
131560	132089	24
132090	132695	23
132696	133334	22
133335	133363	21
133364	133645	20
133646	133690	21
133691	133781	22
133782	133852	23
133853	134042	24
134043	134334	23
134335	134598	22
134599	134602	21
134603	135155	22
135156	135387	21
135388	135417	20
135418	135642	21
135643	135674	22
135675	135932	23
135933	136583	22
136584	136589	21
136590	136860	22
136861	137353	21
137354	137473	22
137474	137811	23
137812	137886	24
137887	138230	25
138231	138317	24
138318	138837	25
138838	139038	24
139039	139109	25
139110	139274	24
139275	139387	23
139388	139412	24
139413	140241	23
140242	140302	22
140303	140593	21
140594	140842	22
140843	140923	21
140924	140997	22
140998	141112	21
141113	141734	20
141735	141791	21
141792	141979	22
141980	142009	21
142010	142150	20
142151	142358	18
142359	142690	17
142691	142709	18
142710	142728	19
142729	142964	20
142965	143034	19
143035	143290	20
143291	143363	21
143364	143644	22
143645	143998	23
143999	144232	24
144233	144397	25
144398	144416	26
144417	144534	25
144535	144536	26
144537	144567	25
144568	144867	26
144868	145095	25
145096	145458	26
145459	145789	25
145790	145843	24
145844	145964	25
145965	146004	26
146005	146065	25
146066	146260	24
146261	146311	23
146312	146557	24
146558	146988	25
146989	147175	26
147176	147371	27
147372	147818	28
147819	147882	29
147883	147906	30
147907	148068	31
148069	148075	30
148076	148100	31
148101	148579	30
148580	148648	31
148649	148753	30
148754	148782	31
148783	148804	32
148805	149089	33
149090	149427	34
149428	149767	33
149768	149840	34
149841	149864	35
149865	150252	34
150253	150680	35
150681	150817	36
150818	151075	35
151076	151094	36
151095	151290	35
151291	151487	36
151488	151498	35
151499	151539	34
151540	151558	35
151559	151679	34
151680	151779	33
151780	151948	34
151949	152182	35
152183	152350	34
152351	152438	33
152439	152508	32
152509	152741	31
152742	152768	32
152769	152863	33
152864	152985	32
152986	153195	33
153196	153286	32
153287	153333	31
153334	153699	30
153700	153824	31
153825	154161	32
154162	154481	31
154482	154557	32
154558	154935	31
154936	155420	29
155421	155658	28
155659	155690	27
155691	156025	26
156026	156207	27
156208	156307	26
156308	156501	27
156502	156729	26
156730	156876	27
156877	157107	28
157108	157127	27
157128	157234	28
157235	157254	27
157255	157394	26
157395	157470	25
157471	157783	26
157784	157838	27
157839	157848	26
157849	157869	25
157870	157950	24
157951	158173	25
158174	158510	26
158511	158519	27
158520	158606	26
158607	158641	27
158642	158702	26
158703	158767	27
158768	159001	26
159002	159347	25
159348	159379	26
159380	159902	27
159903	159951	28
159952	159988	27
159989	160089	26
160090	160141	25
160142	160693	26
160694	160834	25
160835	160853	26
160854	160866	25
160867	161106	24
161107	161112	23
161113	161534	22
161535	161674	23
161675	161719	24
161720	161752	23
161753	161787	24
161788	161840	23
161841	161891	24
161892	162282	25
162283	162456	24
162457	162462	23
162463	162560	24
162561	162991	26
162992	163004	27
163005	163013	26
163014	163521	27
163522	163926	28
163927	163955	29
163956	164115	30
164116	164278	31
164279	164437	32
164438	164572	33
164573	164584	34
164585	165165	33
165166	165650	34
165651	165677	35
165678	165746	34
165747	165773	32
165774	165966	31
165967	166251	32
166252	166272	31
166273	166409	32
166410	166873	32
166874	166968	33
166969	167091	32
167092	167968	33
167969	168029	34
168030	168137	33
168138	168156	34
168157	168252	33
168253	168261	34
168262	168267	33
168268	168505	34
168506	168593	33
168594	168810	34
168811	169007	35
169008	169087	34
169088	169117	35
169118	169372	34
169373	169672	33
169673	169903	32
169904	170017	33
170018	170126	32
170127	170416	31
170417	170558	30
170559	170647	29
170648	170719	30
170720	170795	31
170796	171016	29
171017	171388	28
171389	171547	29
171548	171571	28
171572	171707	29
171708	171897	28
171898	171984	29
171985	172024	28
172025	172045	29
172046	172080	30
172081	172137	29
172138	172152	28
172153	172283	29
172284	172457	28
172458	172717	29
172718	173269	28
173270	173377	29
173378	173505	28
173506	173809	29
173810	174038	28
174039	174278	29
174279	174627	28
174628	174654	29
174655	174673	30
174674	174888	29
174889	174946	28
174947	175015	27
175016	175189	26
175190	175214	28
175215	175220	27
175221	175668	28
175669	175672	27
175673	175908	26
175909	175931	27
175932	176650	28
176651	176944	27
176945	177428	26
177429	177592	27
177593	177697	26
177698	177809	25
177810	177956	26
177957	178323	27
178324	178424	26
178425	178555	27
178556	178606	28
178607	178704	29
178705	178863	30
178864	179012	29
179013	179375	28
179376	179519	29
179520	179580	28
179581	179884	27
179885	180037	28
180038	180152	27
180153	180367	26
180368	180386	27
180387	180512	26
180513	180740	25
180741	180812	26
180813	181012	25
181013	181043	24
181044	181136	25
181137	181486	26
181487	181557	27
181558	181627	26
181628	181882	27
181883	181956	28
181957	182464	27
182465	182619	28
182620	182778	29
182779	182896	28
182897	182967	27
182968	182982	28
182983	182986	29
182987	183054	28
183055	183093	27
183094	183248	26
183249	183477	27
183478	183495	26
183496	183546	27
183547	183582	28
183583	183735	29
183736	184057	28
184058	184110	27
184111	184132	28
184133	184701	27
184702	185392	28
185393	185449	27
185450	185914	28
185915	185992	27
185993	186388	28
186389	186467	29
186468	186677	30
186678	186712	29
186713	186982	30
186983	187097	29
187098	187230	30
187231	187261	31
187262	187392	30
187393	187410	29
187411	187817	28
187818	187884	29
187885	188010	30
188011	188084	31
188085	188217	32
188218	188274	31
188275	188301	30
188302	188320	31
188321	188635	30
188636	188723	29
188724	189019	30
189020	189423	29
189424	189744	30
189745	189808	31
189809	190699	30
190700	190923	31
190924	190995	30
190996	191033	31
191034	191073	32
191074	191257	33
191258	191466	32
191467	191803	31
191804	191974	27
191975	192032	26
192033	192070	25
192071	192194	24
192195	192887	23
192888	192905	24
192906	193254	25
193255	193331	26
193332	193495	25
193496	193513	26
193514	193525	27
193526	193532	28
193533	193544	27
193545	193733	26
193734	193772	25
193773	194191	26
194192	194220	27
194221	194444	28
194445	194572	29
194573	194708	28
194709	195036	27
195037	195143	28
195144	195352	29
195353	195378	28
195379	195600	27
195601	195815	26
195816	195880	27
195881	195904	26
195905	196251	27
196252	196297	26
196298	196447	27
196448	196749	28
196750	197005	29
197006	197040	30
197041	197041	31
197042	197150	30
197151	197195	31
197196	197244	32
197245	197401	31
197402	197611	30
197612	197933	29
197934	198133	28
198134	198270	29
198271	198560	30
198561	198702	31
198703	198814	32
198815	198976	31
198977	199106	30
199107	199133	31
199134	199482	32
199483	199528	33
199529	199567	32
199568	199625	31
199626	199705	32
199706	199794	33
199795	199996	34
199997	200078	33
200079	200088	32
200089	200281	33
200282	200296	34
200297	200350	35
200351	200386	34
200387	200450	35
200451	200790	36
200791	201214	37
201215	201441	36
201442	201743	37
201744	201926	36
201927	201954	37
201955	202109	38
202110	202268	37
202269	202387	38
202388	202432	37
202433	202626	36
202627	203078	37
203079	203172	36
203173	203299	35
203300	203563	34
203564	203662	35
203663	203843	34
203844	203921	33
203922	204151	32
204152	204164	31
204165	204276	30
204277	204291	31
204292	204371	32
204372	204917	31
204918	204932	32
204933	205007	33
205008	205242	34
205243	205516	35
205517	205568	34
205569	205634	33
205635	205721	34
205722	205845	33
205846	205983	34
205984	206252	35
206253	206284	36
206285	206353	35
206354	206417	34
206418	206840	33
206841	207372	32
207373	207393	31
207394	207710	32
207711	207838	33
207839	207987	34
207988	208136	32
208137	208176	33
208177	208204	32
208205	208264	31
208265	208365	32
208366	208698	31
208699	208730	32
208731	208759	31
208760	209025	30
209026	209123	29
209124	209340	30
209341	209371	31
209372	209450	30
209451	209459	31
209460	209558	32
209559	209600	33
209601	209632	32
209633	209839	31
209840	209951	32
209952	210086	31
210087	210106	30
210107	210126	29
210127	210424	30
210425	210575	31
210576	210600	30
210601	210835	31
210836	211031	32
211032	211058	34
211059	211064	33
211065	211089	34
211090	211236	35
211237	211496	34
211497	211555	33
211556	211584	34
211585	211585	33
211586	211803	34
211804	212006	35
212007	212183	36
212184	212413	35
212414	212561	34
212562	212590	35
212591	212808	34
212809	213333	35
213334	214110	34
214111	214111	33
214112	214213	34
214214	214297	33
214298	214496	32
214497	214553	31
214554	214673	30
214674	214887	31
214888	214959	30
214960	215025	29
215026	215208	30
215209	215265	31
215266	215608	32
215609	215763	31
215764	216102	32
216103	216198	31
216199	216319	32
216320	216572	31
216573	216602	32
216603	216664	33
216665	216683	34
216684	216840	33
216841	217480	34
217481	217504	33
217505	217724	32
217725	217844	33
217845	217863	34
217864	217897	33
217898	217905	34
217906	217916	33
217917	218133	32
218134	218152	33
218153	218211	32
218212	218450	31
218451	218520	32
218521	218643	33
218644	218644	32
218645	219257	34
219258	219334	33
219335	219370	32
219371	219540	31
219541	219580	32
219581	219614	31
219615	219615	32
219616	219732	31
219733	219806	30
219807	219845	31
219846	219880	30
219881	219949	31
219950	219989	32
219990	220051	33
220052	220113	34
220114	220308	36
220309	220359	35
220360	220378	36
220379	220393	35
220394	220609	34
220610	220623	35
220624	220642	36
220643	220815	35
220816	220831	36
220832	221702	35
221703	221821	34
221822	221897	35
221898	222099	34
222100	222294	33
222295	222557	34
222558	222748	35
222749	222759	37
222760	222928	38
222929	223045	37
223046	223345	38
223346	223383	39
223384	223407	38
223408	223611	39
223612	223678	40
223679	223735	41
223736	223936	40
223937	225188	39
225189	225287	40
225288	225393	41
225394	225618	40
225619	225788	39
225789	225830	40
225831	225852	39
225853	226023	40
226024	226042	41
226043	226102	40
226103	226140	41
226141	226143	40
226144	226332	41
226333	226397	40
226398	226596	41
226597	226633	40
226634	226702	39
226703	226726	38
226727	226817	39
226818	227118	38
227119	227588	39
227589	227747	40
227748	227797	39
227798	228069	40
228070	228128	39
228129	228149	38
228150	228203	37
228204	228213	38
228214	228297	39
228298	228312	38
228313	228459	37
228460	228479	35
228480	228551	33
228552	228721	32
228722	228913	34
228914	229362	32
229363	229483	31
229484	230199	30
230200	230293	31
230294	230297	32
230298	230316	33
230317	230369	32
230370	230449	31
230450	230511	32
230512	230611	31
230612	230823	32
230824	230961	31
230962	231130	30
231131	231421	29
231422	231424	28
231425	231495	29
231496	231710	30
231711	231712	31
231713	231812	30
231813	231998	31
231999	232122	30
232123	232262	31
232263	232293	30
232294	232912	31
232913	232969	30
232970	233436	29
233437	234099	28
234100	234692	27
234693	234783	26
234784	234809	25
234810	234935	24
234936	235091	25
235092	235230	26
235231	235478	25
235479	235538	24
235539	235632	25
235633	235679	26
235680	235836	25
235837	235847	24
235848	236074	25
236075	236237	26
236238	236372	25
236373	236632	24
236633	236689	23
236690	236708	25
236709	237438	24
237439	237451	23
237452	237577	22
237578	237818	21
237819	238078	23
238079	238118	24
238119	238501	25
238502	238700	26
238701	238917	25
238918	238923	26
238924	239100	25
239101	239143	26
239144	239518	25
239519	239582	24
239583	239743	23
239744	240338	22
240339	240389	21
240390	240549	22
240550	240614	21
240615	240695	19
240696	240958	18
240959	241150	19
241151	241219	20
241220	241300	21
241301	241427	22
241428	241726	21
241727	242004	20
242005	242425	21
242426	242529	22
242530	242900	23
242901	242998	24
242999	243758	25
243759	243968	26
243969	244153	25
244154	244164	26
244165	244335	25
244336	244468	26
244469	244532	27
244533	245194	26
245195	245582	25
245583	245719	24
245720	245721	25
245722	246088	24
246089	246144	23
246145	246477	24
246478	246761	23
246762	246949	24
246950	247029	26
247030	247215	25
247216	247216	24
247217	247255	25
247256	247415	26
247416	247792	27
247793	247808	26
247809	248030	25
248031	248156	24
248157	248208	23
248209	248497	24
248498	248865	25
248866	249102	26
249103	249178	27
249179	249372	26
249373	249629	25
249630	249637	24
249638	250148	25
250149	250176	24
250177	250366	23
250367	250796	22
250797	250836	23
250837	250890	24
250891	251303	25
251304	251675	24
251676	251756	25
251757	251764	26
251765	251925	27
251926	252024	26
252025	252584	25
252585	252625	26
252626	252806	27
252807	252927	28
252928	252991	29
252992	253023	28
253024	253092	29
253093	253120	28
253121	253234	29
253235	253296	30
253297	253461	31
253462	253757	32
253758	253970	31
253971	254091	30
254092	254101	29
254102	254422	30
254423	254692	29
254693	254899	30
254900	255001	29
255002	255073	30
255074	255400	31
255401	255452	30
255453	255925	31
255926	256084	30
256085	256492	29
256493	256769	28
256770	256794	27
256795	256914	26
256915	257083	25
257084	257120	24
257121	257248	23
257249	257933	24
257934	258393	25
258394	258787	24
258788	259161	23
259162	259180	24
259181	259298	23
259299	259436	24
259437	259481	25
259482	259771	26
259772	260094	25
260095	260224	26
260225	260370	25
260371	260528	24
260529	260858	23
260859	260920	24
260921	260958	25
260959	261009	26
261010	261076	25
261077	261153	26
261154	261179	27
261180	261236	26
261237	261344	27
261345	261414	28
261415	261637	29
261638	261736	28
261737	261844	27
261845	262155	26
262156	262448	27
262449	262608	26
262609	262752	27
262753	262763	28
262764	262879	27
262880	262930	28
262931	263206	27
263207	263225	26
263226	263306	25
263307	263324	23
263325	263581	25
263582	263714	24
263715	263858	23
263859	263903	24
263904	264405	23
264406	264888	24
264889	265021	25
265022	265308	26
265309	265322	25
265323	266110	24
266111	266524	25
266525	266556	27
266557	266802	28
266803	266920	29
266921	267022	30
267023	267417	31
267418	267506	32
267507	268415	31
268416	268471	30
268472	268568	29
268569	268662	28
268663	268957	27
268958	268968	28
268969	269400	27
269401	269510	26
269511	269616	25
269617	269721	24
269722	269832	25
269833	269932	24
269933	270032	23
270033	270166	24
270167	270222	23
270223	270253	24
270254	270316	23
270317	270453	24
270454	270938	23
270939	271084	24
271085	271181	25
271182	271218	24
271219	271778	23
271779	271833	24
271834	271863	25
271864	271999	24
272000	272232	24
272233	272382	23
272383	272452	24
272453	272920	25
272921	272945	24
272946	273644	25
273645	273683	24
273684	273735	23
273736	273815	24
273816	274022	23
274023	274535	24
274536	274593	23
274594	274703	24
274704	274737	23
274738	274983	24
274984	275154	23
275155	275217	24
275218	275280	25
275281	275648	26
275649	275783	27
275784	275897	26
275898	276011	25
276012	276236	24
276237	276325	23
276326	276844	22
276845	277290	23
277291	277408	24
277409	277444	23
277445	277461	24
277462	278256	25
278257	278289	24
278290	278339	25
278340	278341	26
278342	278488	25
278489	278930	24
278931	279053	23
279054	279671	24
279672	279799	25
279800	279905	26
279906	280524	25
280525	281340	24
281341	281424	25
281425	281464	24
281465	281672	23
281673	282019	21
282020	282166	20
282167	282361	19
282362	282380	20
282381	282413	19
282414	282684	18
282685	282706	19
282707	282747	20
282748	282950	21
282951	283412	22
283413	283464	21
283465	283543	20
283544	284110	19
284111	284141	18
284142	284240	17
284241	285506	16
285507	285855	15
285856	285858	16
285859	285937	17
285938	285981	16
285982	285997	15
285998	286059	16
286060	286803	17
286804	286876	16
286877	286925	17
286926	286944	18
286945	287089	17
287090	287342	18
287343	287410	17
287411	287491	18
287492	287868	17
287869	288342	16
288343	288348	15
288349	288706	16
288707	288771	15
288772	288926	16
288927	288961	17
288962	289855	18
289856	290778	19
290779	291499	20
291500	291985	21
291986	292398	20
292399	292868	19
292869	292899	18
292900	292948	17
292949	293112	18
293113	293195	19
293196	293858	18
293859	294259	17
294260	294447	16
294448	294620	17
294621	294731	16
294732	294859	15
294860	295331	16
295332	295566	15
295567	295656	14
295657	296545	15
296546	296695	16
296696	296752	15
296753	296859	16
296860	296920	15
296921	296968	14
296969	297410	15
297411	297431	16
297432	297493	17
297494	297884	18
297885	298040	17
298041	298462	16
298463	298509	15
298510	298583	16
298584	298735	17
298736	298806	18
298807	299021	19
299022	299040	20
299041	299368	19
299369	299475	20
299476	299755	19
299756	299888	18
299889	299889	19
299890	299936	18
299937	300558	19
300559	301363	20
301364	302039	21
302040	302132	20
302133	302169	21
302170	302283	22
302284	302568	23
302569	302712	22
302713	303239	23
303240	304000	22
304001	304196	23
304197	304352	24
304353	305155	23
305156	305290	24
305291	305501	25
305502	305740	26
305741	305924	28
305925	306088	27
306089	306739	28
306740	306773	27
306774	307150	26
307151	307212	25
307213	307231	26
307232	307297	25
307298	307300	26
307301	307458	24
307459	307604	23
307605	307962	24
307963	308008	23
308009	308040	22
308041	308348	21
308349	308364	20
308365	308379	21
308380	308383	23
308384	308997	22
308998	309203	21
309204	309322	22
309323	309572	23
309573	309687	24
309688	309746	23
309747	309832	24
309833	309880	25
309881	310060	26
310061	310090	25
310091	310591	26
310592	310610	27
310611	310675	26
310676	310983	27
310984	311234	29
311235	311271	30
311272	311433	29
311434	311575	28
311576	311817	27
311818	311897	28
311898	312199	29
